"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","전화번호","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","좌표정보(X)","좌표정보(Y)","약국영업면적","지정일자"
"3030000","PHMD120193030033084000019","2019-11-04","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2231-8803","          ","서울특별시 성동구 도선동 46 W에비뉴타워 101호","서울특별시 성동구 왕십리로 320, 1층 101호 (도선동)","04709","건강한약국","2023-01-25 11:46:43","I","2026-03-26 22:34:30","202967.042456635    ","451118.809600324    ","35","2019-11-04"
"3030000","PHMD120203030033084000001","2020-01-21","          ","01","영업/정상","13","영업중","          ","          ","          ","070-7543-8091","          ","서울특별시 성동구 성수동1가 656번지 335호","서울특별시 성동구 왕십리로 50, 지하 1층 (성수동1가)","04778","서울숲팜프라자약국","2020-01-21 09:04:32","I","2026-03-26 22:34:30","203903.353552789    ","448846.820248719    ","29","2020-01-21"
"3030000","PHMD120203030033084000002","2020-07-29","          ","01","영업/정상","13","영업중","          ","          ","          ","02-467-8231","          ","서울특별시 성동구 송정동 87-15 건국빌딩","서울특별시 성동구 동일로 261, 건국빌딩 1층 (송정동)","04800","한길약국","2020-07-29 16:01:48","I","2026-03-26 22:34:30","206193.500564601    ","450291.487796639    ","56","2020-07-29"
"3030000","PHMD120203030033084000003","2020-07-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6077-7142","          ","서울특별시 성동구 성수동1가 656-591 서울숲A타워","서울특별시 성동구 상원1길 26, 서울숲A타워 109호 (성수동1가)","04779","타워약국","2020-08-26 17:54:08","I","2026-03-26 22:34:30","204229.703739897    ","449325.484843723    ","42","2020-07-30"
"3030000","PHMD120203030033084000004","2020-10-26","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2256-7134","          ","서울특별시 성동구 금호동2가 1217 래미안하이리버 상가동","서울특별시 성동구 금호로 105, 래미안하이리버 상가동 B305호 (금호동2가)","04728","별하나약국","2020-10-26 14:33:57","I","2026-03-26 22:34:30","202098.97937718     ","449891.972244601    ","20","2020-10-26"
"3030000","PHMD120203030033084000005","2020-12-07","          ","01","영업/정상","13","영업중","          ","          ","          ","050-4258-8457","          ","서울특별시 성동구 성수동2가 573-7","서울특별시 성동구 성덕정길 127, 1층 (성수동2가)","04777","신세계약국","2020-12-07 16:25:48","I","2026-03-26 22:34:30","205017.047053155    ","448277.387756454    ","25","2020-12-07"
"3070000","PHMD120033070034084000004","2003-04-01","          ","01","영업/정상","13","영업중","          ","          ","          ","02-980-9802","136-809   ","서울특별시 성북구 길음동 1141번지 지하1층  B01호","서울특별시 성북구 삼양로 66, B01호 (길음동, 동부크리닉)","02726","현대약국","2021-12-08 14:33:27","I","2026-03-26 22:34:54","201984.745001288    ","456296.325619597    ","38","2003-04-01"
"3070000","PHMD120033070034084000005","2003-04-11","          ","01","영업/정상","13","영업중","          ","          ","          ","02-915-5777","136-802   ","서울특별시 성북구 길음동 530번지 17호 1층","서울특별시 성북구 길음로 2, 1층 (길음동)","02725","길음메디칼약국","2021-12-08 13:51:54","I","2026-03-26 22:34:54","202109.511601167    ","455781.088375702    ","53","2003-04-11"
"3070000","PHMD120033070034084000006","2003-05-06","          ","01","영업/정상","13","영업중","          ","          ","          ","02-764-4835","136-023   ","서울특별시 성북구 성북동1가 42번지 2호","서울특별시 성북구 성북로5길 2 (성북동1가)","02880","준약국","2021-12-09 11:28:10","I","2026-03-26 22:34:54","200353.171552615    ","454105.589943469    ","11","2003-05-06"
"3070000","PHMD120033070034084000010","2003-07-18","          ","01","영업/정상","13","영업중","          ","          ","          ","02-912-2302","136-775   ","서울특별시 성북구 정릉동 239번지 풍림아이원아파트상가  202동 211호","서울특별시 성북구 솔샘로25길 20, 211호 (정릉동, 풍림아파트상가)","02702","해오름약국","2021-12-09 11:14:29","I","2026-03-26 22:34:54","200575.420521471    ","457360.617372111    ","30","2003-07-18"
