"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","전화번호","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3110000","PHMH320243110032087500027","2024-09-12","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","서울특별시 은평구 응암동 119-29 마이유아파트","서울특별시 은평구 응암로21가길 20, 102~104호 (응암동, 마이유아파트)","03455","씨유응암본점","2024-09-12 16:32:16","I","2026-04-29 23:03:39","192676.151253818    ","454770.723478469    ","88"
"3110000","PHMH320243110032087500029","2024-10-31","          ","01","영업/정상","13","영업중","          ","          ","          ","","          ","","서울특별시 은평구 통일로65길 12-8 (대조동)","03397","씨유불광NC점","2024-10-31 16:10:47","I","2026-04-29 23:03:39","193723.1564212      ","456369.530117768    ",""
"3000000","PHMH320123000034087500062","2012-11-12","          ","03","폐업","03","폐업","2015-07-03","          ","          ","02-732-0397","          ","","서울특별시 종로구 삼봉로 100, 1층 (공평동)","     ","씨유 종로공평점","2015-07-03 15:06:35","I","2026-04-29 23:03:21","198403.062908229    ","452180.670203793    ",""
"3210000","PHMH320123210034087500024","2012-11-13","          ","03","폐업","03","폐업","2013-09-27","          ","          ","","137-863   ","서울특별시 서초구 서초동 1364번지 11호","서울특별시 서초구 서운로 6 (서초동)","     ","지에스25서초코날점","2013-09-27 17:36:28","I","2026-03-26 22:32:07","202580.12152321     ","442504.857274177    ",""
"3210000","PHMH320193210034087500002","2019-01-02","          ","03","폐업","03","폐업","2025-03-14","          ","          ","","          ","서울특별시 서초구 방배동 778번지 30호 1층","서울특별시 서초구 방배중앙로21길 10, 1층 (방배동)","06558","세븐일레븐방배중앙로점","2025-03-14 14:40:42","I","2026-03-26 22:32:21","198692.865865338    ","443379.492827847    ","90"
"3210000","PHMH320193210034087500006","2019-01-30","          ","03","폐업","03","폐업","2025-07-31","          ","          ","","          ","서울특별시 서초구 반포동 107번지 18호","서울특별시 서초구 사평대로20길 12, 1층 (반포동)","06575","지에스25서래제일점","2025-07-31 11:53:37","I","2026-03-26 22:32:21","199659.543953095    ","444083.847856524    ",""
"3210000","PHMH320193210034087500008","2019-02-25","          ","03","폐업","03","폐업","2025-05-30","          ","          ","","          ","서울특별시 서초구 잠원동 42번지 10호 더원빌딩","서울특별시 서초구 신반포로45길 9-4, 1층 (잠원동)","06532","지에스25잠원하나점","2025-05-30 16:27:41","I","2026-03-26 22:32:32","201584.328212166    ","445441.379593727    ",""
"3210000","PHMH320193210034087500009","2019-03-12","          ","03","폐업","03","폐업","2020-01-19","          ","          ","","          ","서울특별시 서초구 양재동 340번지 3호 103호,104호","서울특별시 서초구 강남대로8길 40-13, 103호,104호 (양재동)","06786","지에스25양재한양","2020-02-06 10:07:23","I","2026-03-26 22:32:22","203767.925000914    ","440760.638333247    ","36"
"3050000","PHMH320133050034087500009","2013-10-01","          ","03","폐업","03","폐업","2018-01-24","          ","          ","070-4300-6453","130-810   ","서울특별시 동대문구 신설동 84번지 4호 대학빌딩 1층","서울특별시 동대문구 한빛로 1, 1층 (신설동, 대학빌딩)","02581","아이지에이","2018-01-24 16:26:49","I","2026-04-26 22:00:56","202034.733564967    ","452664.087470145    ",""
"3050000","PHMH320133050034087500028","2013-06-26","          ","03","폐업","03","폐업","2018-04-16","          ","          ","22443661","130-841   ","서울특별시 동대문구 장안동 355번지 1호","서울특별시 동대문구 장한로18길 88 (장안동)","02641","위드미 장안홈타운점","2018-04-16 15:24:00","I","2026-04-26 22:00:56","206453.980260918    ","451744.383087562    ",""
"3050000","PHMH320133050034087500029","2013-06-24","          ","03","폐업","03","폐업","2015-05-29","          ","          ","22447232","130-808   ","서울특별시 동대문구 답십리동 765번지","서울특별시 동대문구 한천로 107-3 (답십리동)","     ","씨유 답십리대림점","2015-05-29 15:10:56","I","2026-04-26 22:00:56","205661.548238672    ","452069.966457997    ",""
"3050000","PHMH320133050034087500030","2013-05-31","          ","03","폐업","03","폐업","2019-04-05","          ","          ","","130-851   ","서울특별시 동대문구 전농동 113번지 38호","서울특별시 동대문구 서울시립대로29길 78 (전농동)","02492","홈플러스365편의점 전농타운점","2019-04-05 11:15:03","I","2026-04-26 22:00:56","204758.60629182     ","453849.027649264    ",""
"3050000","PHMH320133050034087500031","2013-02-14","          ","03","폐업","03","폐업","2015-07-10","          ","          ","22471245","130-845   ","서울특별시 동대문구 장안동 435번지 1호","서울특별시 동대문구 장한로 48 (장안동)","     ","GS25 장안센타점","2015-07-13 12:56:08","I","2026-04-26 22:00:56","205893.568425533    ","451440.0165229      ",""
"3050000","PHMH320133050034087500032","2013-04-23","          ","03","폐업","03","폐업","2018-04-05","          ","          ","","130-860   ","서울특별시 동대문구 제기동 137번지 37호","서울특별시 동대문구 제기로5길 42 (제기동)","02473","세븐일레븐 고대로데오점","2018-04-09 16:56:15","I","2026-04-26 22:00:59","203066.840316252    ","453984.15548288     ",""
"3050000","PHMH320133050034087500033","2013-04-23","          ","03","폐업","03","폐업","2016-02-24","          ","          ","","130-873   ","서울특별시 동대문구 회기동 103번지 18호","서울특별시 동대문구 회기로18길 12 (회기동)","02460","씨유 경희원룸점","2016-02-24 11:18:19","I","2026-04-26 22:00:56","204560.64077174     ","454289.27672457     ",""
