"자치구별(1)","성별(1)",2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4,2026 1/4
"자치구별(1)","성별(1)",합계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상+
"합계","합계",9304400,45335,40897,36748,39352,41836,42813,46163,49805,53457,60326,66249,66931,66350,73438,71848,73589,68844,71826,81393,80064,79821,88802,99755,103272,116809,141386,146051,149470,158352,160567,164674,165493,161393,162633,156850,140478,133946,131088,125100,123834,124762,122836,135788,143123,148866,145732,146246,129703,131751,130744,133897,142883,150382,152214,158604,158446,151827,150503,137144,130082,133110,134331,125216,135160,135431,146769,139455,128195,125366,115741,114522,113968,90168,94102,74784,71253,74802,71549,71314,66590,48486,49632,45285,51862,44895,33746,30657,26657,21628,18220,15016,11683,8680,6615,4874,3488,2759,2058,1410,893,1459
"합계","남자",4480938,23270,20908,18913,19943,21567,21937,23984,25866,27316,30848,33783,34170,34290,37569,36913,37783,35245,36567,41446,39336,37883,41254,46665,47821,53880,65180,67711,69892,74228,76790,80146,82432,81113,81933,78720,70737,67733,65640,62281,61045,62161,60910,67609,70687,73777,72265,71987,63757,64194,64632,65708,70709,73269,75142,78733,77863,75006,73600,66248,64370,64766,65019,60608,65706,64649,68461,64901,59869,58641,53011,52432,52032,40900,42889,33855,32247,33157,31747,31257,29131,20867,21335,18934,22083,18759,13561,11907,9960,7865,6148,4999,3579,2499,1843,1217,832,635,495,300,166,311
"합계","여자",4823462,22065,19989,17835,19409,20269,20876,22179,23939,26141,29478,32466,32761,32060,35869,34935,35806,33599,35259,39947,40728,41938,47548,53090,55451,62929,76206,78340,79578,84124,83777,84528,83061,80280,80700,78130,69741,66213,65448,62819,62789,62601,61926,68179,72436,75089,73467,74259,65946,67557,66112,68189,72174,77113,77072,79871,80583,76821,76903,70896,65712,68344,69312,64608,69454,70782,78308,74554,68326,66725,62730,62090,61936,49268,51213,40929,39006,41645,39802,40057,37459,27619,28297,26351,29779,26136,20185,18750,16697,13763,12072,10017,8104,6181,4772,3657,2656,2124,1563,1110,727,1148
"종로구","합계",136817,446,446,408,418,474,481,534,525,594,691,768,749,784,944,844,938,850,973,1152,1214,1213,1412,1644,1742,1974,2383,2437,2439,2386,2432,2385,2337,2270,2290,2081,1940,1731,1681,1634,1573,1631,1625,1812,1863,1953,1962,1926,1744,1722,1803,1819,2059,2219,2255,2477,2598,2420,2390,2274,2167,2128,2178,2088,2249,2193,2364,2107,1961,1904,1806,1738,1743,1284,1434,1124,997,1155,1050,1178,1059,808,907,784,907,813,655,607,564,433,379,295,257,197,152,109,81,51,52,25,30,35
"종로구","남자",65500,222,241,217,214,244,246,279,261,297,352,383,362,363,458,409,485,420,475,569,562,514,603,734,779,918,1089,1142,1137,1123,1251,1171,1158,1200,1157,1049,984,879,838,792,705,783,795,926,907,919,906,937,829,785,852,881,998,1073,1077,1270,1286,1212,1159,1085,1082,1061,1074,1065,1157,1138,1097,1049,967,970,868,855,833,623,686,531,431,506,455,526,449,322,374,304,379,299,274,227,223,161,143,108,79,66,48,37,24,11,13,3,8,12
"종로구","여자",71317,224,205,191,204,230,235,255,264,297,339,385,387,421,486,435,453,430,498,583,652,699,809,910,963,1056,1294,1295,1302,1263,1181,1214,1179,1070,1133,1032,956,852,843,842,868,848,830,886,956,1034,1056,989,915,937,951,938,1061,1146,1178,1207,1312,1208,1231,1189,1085,1067,1104,1023,1092,1055,1267,1058,994,934,938,883,910,661,748,593,566,649,595,652,610,486,533,480,528,514,381,380,341,272,236,187,178,131,104,72,57,40,39,22,22,23
"중구","합계",117762,605,490,405,487,476,471,429,451,482,556,548,509,542,528,558,546,520,549,772,809,815,986,1232,1200,1492,1733,1867,1963,2086,2215,2285,2358,2426,2382,2321,2078,1962,1926,1773,1708,1651,1617,1766,1730,1707,1671,1688,1383,1462,1429,1425,1609,1690,1763,1946,1973,1975,1962,1766,1637,1722,1803,1747,1821,1781,2038,1812,1770,1726,1627,1596,1612,1214,1232,1026,993,1035,986,989,949,706,729,700,778,761,535,518,452,332,326,266,201,163,116,76,62,50,44,33,22,22
"중구","남자",56567,319,246,221,243,220,245,228,226,243,280,297,249,277,274,286,281,282,263,350,377,351,428,549,587,683,766,809,847,908,1030,1045,1206,1177,1176,1163,1007,1039,972,889,888,823,798,890,852,850,856,860,714,725,706,744,799,813,852,981,961,1010,977,915,868,856,862,873,919,894,989,902,848,858,802,774,780,549,569,483,459,469,456,422,388,276,300,277,317,290,205,190,167,90,106,73,60,34,29,23,12,12,18,7,3,5
"중구","여자",61195,286,244,184,244,256,226,201,225,239,276,251,260,265,254,272,265,238,286,422,432,464,558,683,613,809,967,1058,1116,1178,1185,1240,1152,1249,1206,1158,1071,923,954,884,820,828,819,876,878,857,815,828,669,737,723,681,810,877,911,965,1012,965,985,851,769,866,941,874,902,887,1049,910,922,868,825,822,832,665,663,543,534,566,530,567,561,430,429,423,461,471,330,328,285,242,220,193,141,129,87,53,50,38,26,26,19,17
"용산구","합계",200962,1113,973,845,932,878,943,996,977,1002,1121,1188,1160,1169,1261,1245,1249,1206,1279,1431,1494,1511,1872,1932,2009,2371,2796,3038,3201,3430,3841,4017,4206,4030,4256,4068,3747,3505,3236,3071,2937,3042,2864,2967,3177,3116,3123,2974,2464,2680,2532,2725,2968,3055,3270,3522,3561,3412,3277,3124,2757,2940,2903,2883,2914,2953,3007,2895,2644,2630,2377,2312,2163,1892,1725,1386,1409,1460,1411,1405,1243,1022,1040,966,1153,1028,780,753,687,632,523,395,329,265,165,172,98,81,60,37,25,53
"용산구","남자",95540,574,499,431,463,462,490,499,483,496,564,611,591,583,683,641,669,627,641,682,712,648,820,799,879,997,1235,1309,1487,1551,1770,1901,2009,1928,2067,2019,1820,1742,1649,1481,1415,1515,1424,1504,1602,1566,1581,1430,1193,1298,1174,1325,1415,1471,1530,1706,1721,1670,1626,1511,1387,1419,1450,1418,1437,1490,1442,1402,1274,1290,1125,1097,1035,880,777,627,641,643,653,558,521,411,403,371,467,403,313,258,260,209,169,118,120,79,51,46,35,25,18,8,5,16
