"자치구별(1)","자치구별(2)",시가화면적별(1),시가화면적별(2),2019
"서울시","소계",행정구역면적 (㎢),소계,605.24
"서울시","소계",시가화면적 현황,시가화면적 (㎢),371.54
"서울시","소계",시가화면적 현황,시가화면적비율 (%),61.39
"서울시","종로구",행정구역면적 (㎢),소계,23.91
"서울시","종로구",시가화면적 현황,시가화면적 (㎢),12.77
"서울시","종로구",시가화면적 현황,시가화면적비율 (%),53.39
"서울시","중구",행정구역면적 (㎢),소계,9.96
"서울시","중구",시가화면적 현황,시가화면적 (㎢),9.95
"서울시","중구",시가화면적 현황,시가화면적비율 (%),99.89
"서울시","용산구",행정구역면적 (㎢),소계,21.87
"서울시","용산구",시가화면적 현황,시가화면적 (㎢),13.37
"서울시","용산구",시가화면적 현황,시가화면적비율 (%),61.14
"서울시","성동구",행정구역면적 (㎢),소계,16.86
"서울시","성동구",시가화면적 현황,시가화면적 (㎢),12.47
"서울시","성동구",시가화면적 현황,시가화면적비율 (%),73.98
"서울시","광진구",행정구역면적 (㎢),소계,17.06
"서울시","광진구",시가화면적 현황,시가화면적 (㎢),11.80
"서울시","광진구",시가화면적 현황,시가화면적비율 (%),69.16
"서울시","동대문구",행정구역면적 (㎢),소계,14.22
"서울시","동대문구",시가화면적 현황,시가화면적 (㎢),13.86
"서울시","동대문구",시가화면적 현황,시가화면적비율 (%),97.52
"서울시","중랑구",행정구역면적 (㎢),소계,18.50
"서울시","중랑구",시가화면적 현황,시가화면적 (㎢),11.18
"서울시","중랑구",시가화면적 현황,시가화면적비율 (%),60.44
"서울시","성북구",행정구역면적 (㎢),소계,24.57
"서울시","성북구",시가화면적 현황,시가화면적 (㎢),18.23
"서울시","성북구",시가화면적 현황,시가화면적비율 (%),74.17
"서울시","강북구",행정구역면적 (㎢),소계,23.60
"서울시","강북구",시가화면적 현황,시가화면적 (㎢),11.25
"서울시","강북구",시가화면적 현황,시가화면적비율 (%),47.67
"서울시","도봉구",행정구역면적 (㎢),소계,20.66
"서울시","도봉구",시가화면적 현황,시가화면적 (㎢),9.84
"서울시","도봉구",시가화면적 현황,시가화면적비율 (%),47.61
"서울시","노원구",행정구역면적 (㎢),소계,35.44
"서울시","노원구",시가화면적 현황,시가화면적 (㎢),14.57
"서울시","노원구",시가화면적 현황,시가화면적비율 (%),41.11
"서울시","은평구",행정구역면적 (㎢),소계,29.71
"서울시","은평구",시가화면적 현황,시가화면적 (㎢),15.89
"서울시","은평구",시가화면적 현황,시가화면적비율 (%),53.47
"서울시","서대문구",행정구역면적 (㎢),소계,17.63
"서울시","서대문구",시가화면적 현황,시가화면적 (㎢),15.72
"서울시","서대문구",시가화면적 현황,시가화면적비율 (%),89.20
"서울시","마포구",행정구역면적 (㎢),소계,23.85
"서울시","마포구",시가화면적 현황,시가화면적 (㎢),14.33
"서울시","마포구",시가화면적 현황,시가화면적비율 (%),60.09
"서울시","양천구",행정구역면적 (㎢),소계,17.41
"서울시","양천구",시가화면적 현황,시가화면적 (㎢),13.43
"서울시","양천구",시가화면적 현황,시가화면적비율 (%),77.14
"서울시","강서구",행정구역면적 (㎢),소계,41.44
"서울시","강서구",시가화면적 현황,시가화면적 (㎢),18.96
"서울시","강서구",시가화면적 현황,시가화면적비율 (%),45.76
"서울시","구로구",행정구역면적 (㎢),소계,20.12
"서울시","구로구",시가화면적 현황,시가화면적 (㎢),14.98
"서울시","구로구",시가화면적 현황,시가화면적비율 (%),74.45
"서울시","금천구",행정구역면적 (㎢),소계,13.02
"서울시","금천구",시가화면적 현황,시가화면적 (㎢),10.12
"서울시","금천구",시가화면적 현황,시가화면적비율 (%),77.70
"서울시","영등포구",행정구역면적 (㎢),소계,24.55
"서울시","영등포구",시가화면적 현황,시가화면적 (㎢),15.65
"서울시","영등포구",시가화면적 현황,시가화면적비율 (%),63.74
"서울시","동작구",행정구역면적 (㎢),소계,16.35
"서울시","동작구",시가화면적 현황,시가화면적 (㎢),14.14
"서울시","동작구",시가화면적 현황,시가화면적비율 (%),86.44
"서울시","관악구",행정구역면적 (㎢),소계,29.57
"서울시","관악구",시가화면적 현황,시가화면적 (㎢),15.72
"서울시","관악구",시가화면적 현황,시가화면적비율 (%),53.16
"서울시","서초구",행정구역면적 (㎢),소계,46.98
"서울시","서초구",시가화면적 현황,시가화면적 (㎢),20.21
"서울시","서초구",시가화면적 현황,시가화면적비율 (%),43.01
"서울시","강남구",행정구역면적 (㎢),소계,39.50
"서울시","강남구",시가화면적 현황,시가화면적 (㎢),26.17
"서울시","강남구",시가화면적 현황,시가화면적비율 (%),66.26
"서울시","송파구",행정구역면적 (㎢),소계,33.87
"서울시","송파구",시가화면적 현황,시가화면적 (㎢),23.30
"서울시","송파구",시가화면적 현황,시가화면적비율 (%),68.79
"서울시","강동구",행정구역면적 (㎢),소계,24.59
"서울시","강동구",시가화면적 현황,시가화면적 (㎢),13.65
"서울시","강동구",시가화면적 현황,시가화면적비율 (%),55.49
